Activity ID;Activity Name;Description HrRest;Begin Timestamp;Begin Timestamp (Raw Milliseconds);End Timestamp;End Timestamp (Raw Milliseconds);Device;Activity Parent;Activity Type;Event Type;Activity Time Zone;Max. Elevation;Max. Elevation (Raw);Begin Latitude (Decimal Degrees Raw);Begin Longitude (Decimal Degrees Raw);End Latitude (Decimal Degrees Raw);End Longitude (Decimal Degrees Raw);Average Moving Speed;Average Moving Speed (Raw);Max. Heart Rate (bpm);Average Heart Rate (bpm);Max. Speed;Max. Speed (Raw);Calories;Calories (Raw);Duration (h:m:s);Duration (Raw Seconds);Moving Duration (h:m:s);Moving Duration (Raw Seconds);Average Speed;Average Speed (Raw);Distance;Distance (Raw);Min. Heart Rate (bpm);Min. Elevation;Min. Elevation (Raw);Elevation Gain;Elevation Gain (Raw);Elevation Loss;Elevation Loss (Raw);VO2Max;TrainingEffect
"2306128627";"Jankowice Biegi";"";"Pn, lis 6, 2017 15:43";"1509979427000";"Pn, lis 6, 2017 16:40";"1509982849000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.9";"51.02002711035311";"17.164579834789038";"51.01552661508322";"17.169990437105298";"05:42";"5.693816315308344";"162";"144";"04:09";"4.1542039676051825";"583";"583.0521095364701";"00:57:02";"3421.751";"00:57:00";"3420.0";"05:42 Minuty na kilometr";"5.696058097428506";"10.01 Kilometry";"10.01086";"72";"122 Metry";"121.9";"2 Metry";"1.75";"2 Metry";"2.11";"3.90";"49.0"
"2306128575";"Warszawa Biegi";"";"So, lis 4, 2017 15:28";"1509805708000";"So, lis 4, 2017 16:15";"1509808501000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"91 Metry";"91.37";"52.19785004854202";"21.12696790136397";"52.19779212959111";"21.126325177028775";"05:35";"5.584252957736777";"161";"145";"03:33";"3.5582123425219163";"470";"469.92615787036823";"00:46:32";"2792.281";"00:46:33";"2793.0";"05:35 Minuty na kilometr";"5.583473116380672";"8.34 Kilometry";"8.33594";"74";"91 Metry";"91.37";"15 Metry";"14.55";"14 Metry";"14.47";"3.50";"50.0"
"2306128543";"Bardo Biegi";"HrRest: 35";"Śr, lis 1, 2017 9:48";"1509526125000";"Śr, lis 1, 2017 10:52";"1509529973000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"528 Metry";"527.69";"50.5096176546067";"16.729330401867628";"50.509656546637416";"16.729238452389836";"05:51";"5.843564536380499";"";"";"04:02";"4.0325833733389675";"590";"589.973317549797";"01:04:07";"3847.332";"00:55:17";"3317.0";"06:47 Minuty na kilometr";"6.7778226583415035";"9.46 Kilometry";"9.46055";"";"528 Metry";"527.69";"332 Metry";"332.3";"328 Metry";"327.73";"";""
"2247065814";"Jankowice Biegi";"HrResr: 45";"Wt, paź 31, 2017 14:31";"1509456676000";"Wt, paź 31, 2017 15:05";"1509458732000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.84";"51.015385296195745";"17.169849621132016";"51.01540415547788";"17.170165618881583";"05:43";"5.7139206414265";"159";"137";"02:30";"2.505135573796685";"373";"373.02924568379154";"00:34:16";"2055.976";"00:34:16";"2056.0";"05:43 Minuty na kilometr";"5.713632619344489";"6.00 Kilometry";"5.99705";"68";"122 Metry";"121.84";"6 Metry";"6.36";"8 Metry";"7.82";"3.50";"49.0"
"2238982373";"Jankowice Biegi";"HrRest: 55";"Pn, paź 30, 2017 13:26";"1509366411000";"Pn, paź 30, 2017 14:06";"1509368793000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.76";"51.01483426988125";"17.176210144534707";"51.01547347381711";"17.170056654140353";"05:48";"5.798143700427211";"159";"130";"05:23";"5.3798148482491674";"343";"342.95779017761254";"00:39:42";"2382.257";"00:39:40";"2380.0";"05:48 Minuty na kilometr";"5.8031569597568735";"6.84 Kilometry";"6.84127";"68";"122 Metry";"121.76";"2 Metry";"1.64";"4 Metry";"3.73";"3.20";"50.0"
"2173817621";"Jankowice Biegi";"";"Pn, paź 23, 2017 17:37";"1508773077000";"Pn, paź 23, 2017 17:46";"1508773563000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"123 Metry";"123.12";"51.01891407743096";"17.164657367393374";"51.015673046931624";"17.169782985001802";"08:48";"8.796296296296296";"151";"130";"04:41";"4.6763937079346";"65";"64.91615791810064";"00:08:07";"486.501";"00:07:55";"475.0";"09:01 Minuty na kilometr";"9.00900889290549";"0.90 Kilometry";"0.9";"105";"123 Metry";"123.12";"0 Metry";"0.46";"";"";"1.60";"50.0"
"2173817567";"Jankowice Biegi";"";"Pn, paź 23, 2017 16:56";"1508770569000";"Pn, paź 23, 2017 17:36";"1508772975000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"131 Metry";"130.98";"51.01560431532562";"17.170153968036175";"51.01915036328137";"17.16447782702744";"05:24";"5.406445391239763";"164";"143";"01:01";"1.0160743029140507";"448";"447.96922210395184";"00:40:06";"2406.242";"00:40:05";"2405.0";"05:25 Minuty na kilometr";"5.409498922989304";"7.41 Kilometry";"7.41399";"84";"131 Metry";"130.98";"11 Metry";"10.88";"12 Metry";"11.88";"3.70";"50.0"
"2150225974";"Jankowice Biegi";"";"Pt, paź 20, 2017 18:02";"1508515360000";"Pt, paź 20, 2017 18:42";"1508517776000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"123 Metry";"123.0";"51.01537674665451";"17.17009454034269";"51.00686836056411";"17.162459045648575";"05:36";"5.6065309755021335";"156";"145";"01:54";"1.8922192782615264";"419";"419.0910783242085";"00:40:16";"2416.147";"00:40:16";"2416.0";"05:36 Minuty na kilometr";"5.606009548825658";"7.18 Kilometry";"7.1821";"95";"123 Metry";"123.0";"3 Metry";"3.07";"2 Metry";"2.37";"3.20";"50.0"
"2128983285";"Jankowice Biegi";"";"Wt, paź 17, 2017 16:02";"1508248958000";"Wt, paź 17, 2017 16:42";"1508251330000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.59";"51.015252862125635";"17.17014843598008";"51.01532427594066";"17.17016796581447";"05:22";"5.374049346961741";"162";"150";"04:12";"4.192872217994998";"438";"437.94540360189217";"00:39:32";"2372.0";"00:39:32";"2372.0";"05:22 Minuty na kilometr";"5.3746102184360565";"7.36 Kilometry";"7.35634";"95";"122 Metry";"121.59";"2 Metry";"2.0";"2 Metry";"2.0";"3.60";"51.0"
"2111977467";"Jankowice Biegi";"";"N, paź 15, 2017 10:48";"1508057318000";"N, paź 15, 2017 11:25";"1508059550000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.77";"51.01545930840075";"17.169962944462895";"51.015651589259505";"17.169783990830183";"05:11";"5.18822657413443";"167";"152";"03:14";"3.2299742557212445";"417";"416.9431172166243";"00:37:13";"2232.572";"00:37:12";"2232.0";"05:11 Minuty na kilometr";"5.188875224439082";"7.17 Kilometry";"7.17008";"77";"122 Metry";"121.77";"";"";"2 Metry";"2.01";"3.70";"51.0"
